county,stork_count,tortoise_count,aligator_count
alachua,7560,509,1153
baker,22,10,5
bay,19,16,14
bradford,16,14,2
brevard,15688,194,284
broward,3399,42,66
calhoun,11,10,0
charlotte,4181,82,334
citrus,769,126,48
clay,764,62,11
collier,15460,85,477
columbia,221,164,56
desoto,481,8,43
dixie,48,15,5
duval,5620,60,23
escambia,15,19,10
flagler,528,34,11
franklin,41,14,45
gadsden,44,20,17
gilchrist,14,48,7
glades,516,16,7
gulf,7,4,7
hamilton,30,26,3
hardee,203,18,14
hendry,2159,27,87
hernando,1475,58,20
highlands,1268,167,38
hillsborough,4694,437,1363
holmes,3,5,2
indian_river,2960,45,341
jackson,48,12,12
jefferson,110,20,269
lafayette,19,14,9
lake,1125,155,118
lee,12979,166,184
leon,3040,75,47
levy,636,107,2201
liberty,8,27,18
madison,50,16,2
manatee,2831,55,29
marion,633,258,215
martin,1914,52,18
miami-dade,6627,37,936
monroe,2181,5,365
nassau,803,30,16
okaloosa,6,51,43
okeechobee,873,13,53
orange,10450,191,325
osceola,3513,93,117
palm_beach,17120,132,310
pasco,3731,128,30
pinellas,10760,157,217
polk,7643,187,1324
putnam,115,98,43
santa_rosa,8,35,5
sarasota,11858,98,307
seminole,2762,61,37
st_johns,5765,133,29
st_lucie,1218,51,18
sumter,376,51,13
suwannee,79,135,71
taylor,51,23,49
union,16,5,0
volusia,2585,101,98
wakulla,1133,38,158
walton,2,44,8
washington,23,16,4
