county,haz_waste_prods
alachua,210
baker,10
bay,76
bradford,20
brevard,622
broward,1417
calhoun,5
charlotte,63
citrus,62
clay,136
collier,160
columbia,37
desoto,12
dixie,10
duval,989
escambia,247
flagler,26
franklin,6
gadsden,26
gilchrist,2
glades,2
gulf,3
hamilton,6
hardee,7
hendry,33
hernando,70
highlands,52
hillsborough,1026
holmes,3
indian_river,108
jackson,22
jefferson,6
lafayette,4
lake,302
lee,402
leon,137
levy,16
liberty,2
madison,21
manatee,218
marion,312
martin,104
miami-dade,1465
monroe,59
nassau,43
okaloosa,74
okeechobee,28
orange,1815
osceola,170
palm_beach,953
pasco,244
pinellas,868
polk,423
putnam,46
santa_rosa,50
sarasota,261
seminole,685
st_johns,86
st_lucie,130
sumter,57
suwannee,15
taylor,20
union,4
volusia,461
wakulla,8
walton,13
washington,6
